minimum,	time_measurement
0.00000,	1269
0.00000,	1229
0.00000,	1289
0.00000,	1083
0.00000,	1067
0.00000,	1115
0.00000,	1290
0.00000,	1270
0.00000,	1043
0.00000,	1124
0.00000,	1173
0.00000,	1121
0.00000,	1195
0.00000,	1186
0.00000,	1020
0.00000,	1254
0.00000,	1154
0.00000,	1047
0.00000,	1181
0.00000,	1224
0.00000,	1150
0.00000,	1160
0.00000,	1234
0.00000,	1120
0.00000,	1122
0.00000,	1241
0.00000,	1219
0.00000,	1215
0.00000,	1124
0.00000,	1093
