minimum,	time_measurement
-3.34714,	18756
-2.93444,	18656
-3.51167,	18685
-3.02357,	17884
-2.70525,	18548
-2.98514,	18457
-3.19191,	18764
-2.66689,	18605
-2.92629,	18610
-2.62790,	18726
-3.01097,	18484
-2.44293,	18712
-3.02544,	18635
-2.83936,	18646
-3.72164,	18676
-2.99385,	18585
-3.16447,	14717
-2.89817,	14556
-2.90222,	14437
-3.32335,	14551
-3.10756,	14514
-2.97780,	14704
-2.73696,	14471
-2.90674,	14475
-4.28917,	14528
-3.28104,	14710
-3.03491,	14512
-2.57910,	14713
-3.23845,	14410
-2.90042,	14553
