minimum,	time_measurement
-6.15208,	57926
-6.27495,	58041
-5.77972,	57798
-6.37186,	57176
-6.44981,	58476
-7.71182,	58599
-5.50671,	57321
-6.71078,	58040
-6.43966,	57417
-5.65298,	58348
-6.11340,	58239
-6.34176,	58106
-6.04296,	58278
-6.63864,	58298
-6.16451,	57831
-7.04343,	53983
-6.21170,	44302
-6.11188,	44755
-6.97563,	43481
-6.92185,	42739
-7.05691,	42868
-7.49174,	43863
-6.16458,	43670
-6.68916,	44294
-6.27240,	43085
-7.01090,	45161
-7.29650,	43794
-6.10104,	43645
-6.35979,	43173
-6.61104,	42436
