minimum,	time_measurement
175.06136,	31126
169.17393,	27426
186.09521,	40045
170.53148,	37353
158.02749,	39704
172.24669,	39625
177.21794,	33727
175.14369,	36626
182.33721,	39535
167.70447,	31345
190.51131,	39323
172.15711,	34896
178.98975,	39035
192.00977,	38352
183.65178,	39827
192.79745,	39594
181.26970,	33174
187.98046,	31975
199.63882,	34467
202.03007,	32141
164.15649,	31369
157.49619,	25594
193.67622,	33419
193.84019,	34043
202.52262,	34490
166.18781,	27787
194.31349,	33895
194.92604,	28309
189.89467,	34386
185.67623,	34393
