minimum,	time_measurement
100.84898,	41545
95.98930,	29429
111.23122,	43311
84.97415,	30872
103.59419,	43612
92.10056,	32376
116.36893,	43263
106.01872,	42858
103.97516,	38644
112.04613,	42893
103.78527,	35444
106.85950,	43186
102.72037,	43195
110.70014,	41992
120.68465,	43270
102.83098,	43145
98.92038,	28998
111.70653,	22964
113.54773,	28794
116.85947,	28590
109.77929,	29986
94.65975,	29822
98.84694,	29449
105.21782,	28150
109.32033,	30083
95.70600,	23239
97.96718,	24520
81.21333,	28438
94.33369,	26425
114.90755,	30106
