minimum,	time_measurement
0.00000,	631
0.00000,	631
0.00000,	615
0.00000,	601
0.00000,	613
0.00000,	609
0.00000,	524
0.00000,	624
0.00000,	567
0.00000,	562
0.00000,	608
0.00000,	583
0.00000,	620
0.00000,	586
0.00000,	549
0.00000,	584
0.00000,	592
0.00000,	568
0.00000,	656
0.00000,	539
0.00000,	598
0.00000,	607
0.00000,	599
0.00000,	659
0.00000,	639
0.00000,	613
0.00000,	617
0.00000,	624
0.00000,	558
0.00000,	649
