minimum,	time_measurement
0.00000,	1132
0.00000,	1053
0.00000,	1089
0.00000,	1229
0.00000,	1221
0.00000,	1212
0.00000,	1190
0.00000,	1313
0.00000,	1136
0.00000,	1049
0.00000,	1147
0.00000,	1153
0.00000,	1126
0.00000,	1215
0.00000,	1135
0.00000,	1135
0.00000,	1096
0.00000,	1054
0.00000,	1043
0.00000,	1133
0.00000,	1156
0.00000,	1136
0.00000,	1183
0.00000,	1186
0.00000,	1226
0.00000,	1208
0.00000,	1174
0.00000,	1136
0.00000,	1180
0.00000,	1140
