minimum,	time_measurement
4109.20717,	46000
4397.72256,	53012
4016.73761,	39158
4397.09784,	50559
3817.30982,	38766
4776.23546,	53397
4018.90124,	48280
4399.08548,	52130
3807.33070,	43158
4299.17537,	53310
4652.45627,	52246
4096.62792,	48068
4371.47435,	53352
3519.82843,	45286
4758.88926,	53297
4303.05317,	48561
4512.79802,	39119
4279.14688,	39095
4428.25954,	39317
4640.93018,	37104
3847.49753,	34897
3733.78393,	39466
3671.18889,	37213
4522.09319,	37674
4472.38559,	39501
4084.01261,	35545
4359.66426,	38550
4236.89727,	38819
4457.52744,	34367
3760.97385,	34521
