minimum,	time_measurement
12478.09598,	152968
12216.92492,	149556
12722.90056,	153458
12325.55618,	142835
12583.51812,	148582
11597.42807,	137260
11987.37163,	115946
12591.78965,	154365
11904.92324,	154461
11854.12598,	137720
12190.59919,	138670
12406.42459,	149723
11894.42776,	125937
12294.60217,	139621
11822.40092,	154385
11621.65425,	95344
11491.45598,	101306
11972.41734,	105594
12230.86179,	116597
12592.34547,	114100
11946.67559,	109411
12571.25331,	116776
11040.28657,	82498
11353.67847,	93546
11998.08564,	116754
12146.82825,	87121
12067.39930,	109499
12505.09119,	103120
12602.76216,	112388
12886.13135,	115537
